,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
AE,2020-05-26 00:00:00,8,195,118.32541740940009,83.09060325994992,5.1833566667,17.560097499999998,131.3241203333,135.20747166665,268.7137986667,10,5,584,584
AE,2020-05-26 01:00:00,8,196,118.67222122703929,82.81314460571959,5.2021216667,17.146879916675,131.180449,135.229563333325,269.1342696667,10,6,587,585
AE,2020-05-26 02:00:00,8,195,115.99590148376203,84.5112844878261,5.0988916667,14.276421666649998,131.053281,135.17609166665,268.8328373333,10,5,584,584
AE,2020-05-26 03:00:00,8,195,118.77069619914464,82.50727533683133,5.1344366667,22.6155625,130.9821696667,135.23604999999998,268.9431716667,10,5,584,583
AE,2020-05-26 04:00:00,8,196,120.86722543877406,86.06296943793433,5.254005,22.40454625,131.1630495,135.222720833325,379.92562599999997,10,5,582,579
AE,2020-05-26 05:00:00,8,196,116.77918029251582,83.82535706356302,5.1868533333,14.227263749999999,131.1773955,135.22548708335,268.81999333330003,10,6,590,590
AE,2020-05-26 06:00:00,8,197,115.33760915668263,84.61300339722727,5.250325,14.121985,131.0774353333,135.2781916667,269.5099183333,10,7,595,595
AE,2020-05-26 07:00:00,9,201,113.70794428656917,84.72626028842629,5.2154583333,14.102156666700001,130.9752596667,135.305755,269.0700416667,11,9,615,615
AE,2020-05-26 08:00:00,9,197,114.64682113367105,85.3123600278963,5.248491666700001,14.120548333299999,131.1595936667,135.2703733333,268.84944966669997,11,7,595,595
AE,2020-05-26 09:00:00,8,196,117.87654312363976,83.34988684431289,5.1943766667,14.35000083335,131.1560966667,135.2692279167,269.328723,10,6,589,589
AE,2020-05-26 10:00:00,8,198,115.28401826128129,84.52882455870514,5.175165,14.179797083325,131.03815033335002,135.26367708332498,268.827281,10,7,598,598
AE,2020-05-26 11:00:00,8,197,115.85476660642745,84.35394521197979,5.65679,14.218979999999998,131.1033393333,135.2591983333,268.92888066669997,10,7,595,595
AE,2020-05-26 12:00:00,9,228,110.36600844941448,82.97809113695921,5.2622476667,11.351442833299998,131.0014995,135.451457083325,269.3498073333,12,8,685,685
AE,2020-05-26 13:00:00,9,285,97.57979725731161,83.31585637331406,5.10013,9.0513056667,130.8776713333,142.5784256667,269.09429966669995,12,7,855,854
AE,2020-05-26 14:00:00,10,288,95.6521231096045,83.84063490009096,5.2146550000000005,8.999201499975001,130.83810766665,142.586440083325,269.2008523333,13,10,868,868
AE,2020-05-26 15:00:00,10,289,94.51864603898301,84.19186181330183,5.2197863333,8.98663,130.7842533333,142.6024843333,269.397902,13,11,875,875
AE,2020-05-26 16:00:00,9,285,96.11219001754418,84.0610381501856,5.1822226667,9.0640653333,130.8488113333,142.590697,269.897425,12,8,857,857
AE,2020-05-26 17:00:00,9,283,101.05324669493395,82.77986424856118,5.1202716667,9.042398666650001,130.88110600000002,142.61945816669999,268.831283,12,7,837,828
AE,2020-05-26 18:00:00,9,285,100.64605578128598,82.65645205509843,5.156297,9.0306603333,130.8969793333,142.620405,269.27704,12,7,847,844
AE,2020-05-26 19:00:00,9,286,99.97476253076924,83.13959305672877,5.1092636667,9.089208083349998,130.8239256667,142.582877249975,268.6350376667,12,8,856,853
AE,2020-05-26 20:00:00,9,286,97.00394778053628,83.42306591975235,5.1414133333,9.04109391665,130.772362,142.57132608330002,268.5514093333,12,8,859,859
AE,2020-05-26 21:00:00,10,287,98.39391864471568,83.03608695648057,5.165915,8.966709833300001,130.82021899999998,142.563311,269.256625,13,9,861,859
AE,2020-05-26 22:00:00,10,286,95.63871430769191,84.00456848046623,5.0847313333,8.9968141667,130.8063516667,142.50689400000002,269.2947016667,13,8,860,860
AE,2020-05-26 23:00:00,10,288,95.11140613772888,84.01434552242083,5.1370783333,8.928209583325,130.77387666665,142.546226750025,269.6015776667,13,9,870,870
AL,2020-05-26 00:00:00,9,37,38.12711986486757,18.814377894313274,15.18511,32.666799,32.685896,32.7611643333,101.856095,9,5,101,101
AL,2020-05-26 01:00:00,10,38,36.84045089473422,18.869775251067193,5.1642083332999995,32.62853083335,32.72049266665,32.795017,101.52075,10,5,104,104
AL,2020-05-26 02:00:00,9,37,37.70483094594324,18.410105707035083,12.970144,32.6267656667,32.6822383333,32.7749626667,101.15953,9,5,101,101
AL,2020-05-26 03:00:00,8,37,38.39371067567838,18.033766497133687,15.16642,32.665278,32.694108666700004,32.8099926667,101.64636999999999,8,5,101,101
AL,2020-05-26 04:00:00,9,37,37.97679712612163,19.344322371877418,13.205228,32.631879,32.676545000000004,32.8024596667,110.49605,9,5,101,101
AL,2020-05-26 05:00:00,13,45,34.91791405037334,18.616782193832904,5.065805,32.629234000000004,32.6764163333,32.777338,101.880145,13,6,111,111
AL,2020-05-26 06:00:00,8,36,38.90686204629445,19.528618236546368,15.222295,32.683597750025,32.71596866665,32.797751000025,103.1191,8,4,96,96
AL,2020-05-26 07:00:00,10,39,37.0390403333359,18.33567719861384,12.922523,32.6702085,32.7451143333,32.8094055,102.07854499999999,10,5,107,107
AL,2020-05-26 08:00:00,9,40,36.827816725007494,19.490156758285757,5.168769999999999,32.649913250025,32.6905475,32.773057250025,101.23979,9,4,108,108
AL,2020-05-26 09:00:00,9,39,35.391219528205134,17.71867645526119,5.1049583333,32.649022333299996,32.7424476667,32.86826716665,101.222575,9,6,111,111
AL,2020-05-26 10:00:00,9,38,37.774704584205274,18.24259764011137,12.0923583333,32.660097833325,32.7095025,32.796006833350006,102.336555,9,5,104,104
AL,2020-05-26 11:00:00,9,40,35.459948424997506,19.57542677024253,5.0802866667,32.661512499975004,32.713743666650004,32.796259083325,102.2604,9,5,110,110
AL,2020-05-26 12:00:00,10,38,37.00484732456052,19.01913554202514,5.34086,32.6968065,32.793278,32.9282886667,101.7908,10,5,104,104
AL,2020-05-26 13:00:00,10,40,37.2040265216625,18.231257364610574,10.907595,32.67632533335,32.7181338333,32.7500038333,102.088285,10,6,112,112
